run_timestamp,filename,version,build_tag,calibration_status,calibration_failure_reason,reference_mm,calibration_color,mm_per_px,background_mean,aggregate_count,total_area_mm2,total_holes,avg_circularity,avg_optical_density_index,total_combined_optical_density,total_volume_mm3,has_flagged_small_aggregate,hsv_saturation_min,hsv_value_min,hsv_s_ref_p99,hsv_v_ref_p99
2026-07-09T13:51:22,3.0V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00434,166.7,1,2.106,20,0.241,0.201,0.424,TBD,FALSE,73.1,65.5,209.0,187.0
2026-07-09T13:57:16,3.1V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00435,179.7,1,2.115,12,0.247,0.153,0.323,TBD,FALSE,72.8,69.6,208.0,199.0
2026-07-09T13:57:46,3.2V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00435,209.8,1,2.099,19,0.240,0.124,0.261,TBD,FALSE,70.7,79.4,202.0,227.0
2026-07-13T10:08:54,IMG_3155.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00546,171.0,1,0.531,1,0.329,0.058,0.031,TBD,TRUE,70.7,67.2,202.0,192.0
2026-07-13T10:47:22,IMG_3155.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00546,171.0,1,0.531,1,0.329,0.058,0.031,TBD,TRUE,70.7,67.2,202.0,192.0
2026-07-13T11:08:17,IMG_3156.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00546,191.6,15,84.594,9311,0.092,0.008,2.527,TBD,TRUE,70.3,73.1,201.0,209.0
2026-07-13T11:28:57,IMG_3157.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00545,118.5,17,86.478,6643,0.075,0.016,5.080,TBD,TRUE,71.8,47.6,205.0,136.0
2026-07-14T13:57:02,BSA+PBS_4.7pH_3.0V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00546,171.0,1,0.531,1,0.329,0.058,0.031,TBD,TRUE,70.7,67.2,202.0,192.0
2026-07-14T13:58:51,Acetic+BSA_3.8pH_2.9V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00532,122.0,1,1.570,0,0.141,0.257,0.403,TBD,FALSE,71.8,48.3,205.0,138.0
2026-07-14T13:59:38,Acetic+BSA_3.8pH_3.0V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00532,171.0,1,1.576,2,0.146,0.195,0.307,TBD,FALSE,72.4,65.5,207.0,187.0
2026-07-14T14:00:38,Acetic+BSA_3.8pH_3.1V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00533,190.2,1,1.569,2,0.144,0.156,0.245,TBD,FALSE,68.9,72.1,197.0,206.0
2026-07-14T14:01:20,Acetic+BSA_3.8pH_3.2V.JPG,B1.7,csv-master-log,success,,10.0,RED,0.00533,217.7,2,1.504,0,0.330,0.131,0.196,TBD,TRUE,64.8,80.8,185.0,231.0
2026-07-14T14:52:31,Acetic+BSA_3.8pH_2.9V.JPG,B1.8,lower-area-floor,success,,10.0,RED,0.00532,122.0,1,1.570,0,0.141,0.257,0.403,TBD,FALSE,71.8,48.3,205.0,138.0
2026-07-14T14:53:11,Acetic+BSA_3.8pH_3.0V.JPG,B1.8,lower-area-floor,success,,10.0,RED,0.00532,171.0,1,1.576,2,0.146,0.195,0.307,TBD,FALSE,72.4,65.5,207.0,187.0
2026-07-14T14:53:41,Acetic+BSA_3.8pH_3.1V.JPG,B1.8,lower-area-floor,success,,10.0,RED,0.00533,190.2,1,1.569,2,0.144,0.156,0.245,TBD,FALSE,68.9,72.1,197.0,206.0
2026-07-14T14:54:16,Acetic+BSA_3.8pH_3.2V.JPG,B1.8,lower-area-floor,success,,10.0,RED,0.00533,217.7,2,1.504,0,0.330,0.131,0.196,TBD,TRUE,64.8,80.8,185.0,231.0
2026-07-15T13:41:08,Acetic+BSA_3.8pH_2.9V.JPG,B1.9,core-recovered-visibility,success,,10.0,RED,0.00532,122.0,1,1.570,0,0.141,0.257,0.403,TBD,FALSE,71.8,48.3,205.0,138.0
2026-07-15T13:41:39,Acetic+BSA_3.8pH_3.0V.JPG,B1.9,core-recovered-visibility,success,,10.0,RED,0.00532,171.0,1,1.576,2,0.146,0.195,0.307,TBD,FALSE,72.4,65.5,207.0,187.0
2026-07-15T13:42:23,Acetic+BSA_3.8pH_3.1V.JPG,B1.9,core-recovered-visibility,success,,10.0,RED,0.00533,190.2,1,1.569,2,0.144,0.156,0.245,TBD,FALSE,68.9,72.1,197.0,206.0
2026-07-15T13:42:53,Acetic+BSA_3.8pH_3.2V.JPG,B1.9,core-recovered-visibility,success,,10.0,RED,0.00533,217.7,2,1.504,0,0.330,0.131,0.196,TBD,TRUE,64.8,80.8,185.0,231.0
2026-07-15T14:21:44,Acetic+BSA_3.8pH_3.0V.JPG,B1.10,lower-area-floor-2,success,,10.0,RED,0.00532,171.0,2,1.850,21,0.174,0.139,0.330,TBD,TRUE,72.4,65.5,207.0,187.0
2026-07-15T14:22:28,Acetic+BSA_3.8pH_3.1V.JPG,B1.10,lower-area-floor-2,success,,10.0,RED,0.00533,190.2,2,1.850,9,0.172,0.111,0.263,TBD,TRUE,68.9,72.1,197.0,206.0
2026-07-15T14:23:12,Acetic+BSA_3.8pH_3.2V.JPG,B1.10,lower-area-floor-2,success,,10.0,RED,0.00533,217.7,3,1.774,12,0.288,0.104,0.210,TBD,TRUE,64.8,80.8,185.0,231.0
2026-07-15T21:36:57,Acetic+BSA_3.8pH_3.0V.JPG,B1.10,lower-area-floor-2,success,,10.0,RED,0.00532,171.0,2,1.850,21,0.174,0.139,0.330,TBD,TRUE,72.4,65.5,207.0,187.0
2026-07-15T21:37:24,Acetic+BSA_3.8pH_3.1V.JPG,B1.10,lower-area-floor-2,success,,10.0,RED,0.00533,190.2,2,1.850,9,0.172,0.111,0.263,TBD,TRUE,68.9,72.1,197.0,206.0
2026-07-15T21:37:49,Acetic+BSA_3.8pH_3.2V.JPG,B1.10,lower-area-floor-2,success,,10.0,RED,0.00533,217.7,3,1.774,12,0.288,0.104,0.210,TBD,TRUE,64.8,80.8,185.0,231.0
